organism,year,level,pc_num,n_transects,year_zero,tidalheight,years_pres,percent_cover_beta
Ahnfeltia plicata,1996,10,0,3,15,1.044,11,0
Ahnfeltia plicata,1996,11,0,3,15,0.696,11,0
Ahnfeltia plicata,1996,12,0,3,15,0.348,11,0
Ahnfeltia plicata,1996,13,0,2,15,0,11,0
Ahnfeltia plicata,1997,6,0,5,16,2.436,11,0
Ahnfeltia plicata,1997,7,0,5,16,2.088,11,0
Ahnfeltia plicata,1997,8,0,5,16,1.7399999999999998,11,0
Ahnfeltia plicata,1997,9,0,5,16,1.392,11,0
Ahnfeltia plicata,1997,10,0,5,16,1.044,11,0
Ahnfeltia plicata,1997,11,0,5,16,0.696,11,0
Ahnfeltia plicata,1997,12,0,5,16,0.348,11,0
Ahnfeltia plicata,1997,13,0,4,16,0,11,0
Ahnfeltia plicata,1998,6,0,4,17,2.436,11,0
Ahnfeltia plicata,1998,7,0,6,17,2.088,11,0
Ahnfeltia plicata,1998,8,0,6,17,1.7399999999999998,11,0
Ahnfeltia plicata,1998,9,0,6,17,1.392,11,0
Ahnfeltia plicata,1998,10,0,6,17,1.044,11,0
Ahnfeltia plicata,1998,11,0.3333333333333333,6,17,0.696,11,0.003333333333333333
Ahnfeltia plicata,1998,12,0,6,17,0.348,11,0
Ahnfeltia plicata,1998,13,0.3333333333333333,6,17,0,11,0.003333333333333333
Ahnfeltia plicata,1999,6,0,4,18,2.436,11,0
Ahnfeltia plicata,1999,7,0,4,18,2.088,11,0
Ahnfeltia plicata,1999,8,0,4,18,1.7399999999999998,11,0
Ahnfeltia plicata,1999,9,0,4,18,1.392,11,0
Ahnfeltia plicata,1999,10,0,4,18,1.044,11,0
Ahnfeltia plicata,1999,11,0,4,18,0.696,11,0
Ahnfeltia plicata,1999,12,0,4,18,0.348,11,0
Ahnfeltia plicata,1999,13,0,4,18,0,11,0
Ahnfeltia plicata,2000,6,0,6,19,2.436,11,0
Ahnfeltia plicata,2000,7,0,6,19,2.088,11,0
Ahnfeltia plicata,2000,8,0,6,19,1.7399999999999998,11,0
Ahnfeltia plicata,2000,9,0,6,19,1.392,11,0
Ahnfeltia plicata,2000,10,0,6,19,1.044,11,0
Ahnfeltia plicata,2000,11,0,6,19,0.696,11,0
Ahnfeltia plicata,2000,12,0,6,19,0.348,11,0
Ahnfeltia plicata,2000,13,0,5,19,0,11,0
Ahnfeltia plicata,2001,6,0,4,20,2.436,11,0
Ahnfeltia plicata,2001,7,0,5,20,2.088,11,0
Ahnfeltia plicata,2001,8,0,5,20,1.7399999999999998,11,0
Ahnfeltia plicata,2001,9,0,5,20,1.392,11,0
Ahnfeltia plicata,2001,10,0,5,20,1.044,11,0
Ahnfeltia plicata,2001,11,0,5,20,0.696,11,0
Ahnfeltia plicata,2001,12,0,5,20,0.348,11,0
Ahnfeltia plicata,2001,13,0,5,20,0,11,0
Ahnfeltia plicata,2002,6,0,4,21,2.436,11,0
Ahnfeltia plicata,2002,7,0,4,21,2.088,11,0
Ahnfeltia plicata,2002,8,0,4,21,1.7399999999999998,11,0
Ahnfeltia plicata,2002,9,0,4,21,1.392,11,0
Ahnfeltia plicata,2002,10,0,4,21,1.044,11,0
Ahnfeltia plicata,2002,11,0,4,21,0.696,11,0
Ahnfeltia plicata,2002,12,0,4,21,0.348,11,0
Ahnfeltia plicata,2002,13,0,3,21,0,11,0
Ahnfeltia plicata,2003,6,0,4,22,2.436,11,0
Ahnfeltia plicata,2003,7,0,4,22,2.088,11,0
Ahnfeltia plicata,2003,8,0,4,22,1.7399999999999998,11,0
Ahnfeltia plicata,2003,9,0,4,22,1.392,11,0
Ahnfeltia plicata,2003,10,0,4,22,1.044,11,0
Ahnfeltia plicata,2003,11,0,4,22,0.696,11,0
Ahnfeltia plicata,2003,12,0,4,22,0.348,11,0
Ahnfeltia plicata,2003,13,0,4,22,0,11,0
Ahnfeltia plicata,2004,6,0,4,23,2.436,11,0
Ahnfeltia plicata,2004,7,0,4,23,2.088,11,0
Ahnfeltia plicata,2004,8,0,4,23,1.7399999999999998,11,0
Ahnfeltia plicata,2004,9,0,4,23,1.392,11,0
Ahnfeltia plicata,2004,10,0,4,23,1.044,11,0
Ahnfeltia plicata,2004,11,0,4,23,0.696,11,0
Ahnfeltia plicata,2004,12,0,4,23,0.348,11,0
Ahnfeltia plicata,2004,13,0,4,23,0,11,0
Ahnfeltia plicata,2005,6,0,3,24,2.436,11,0
Ahnfeltia plicata,2005,7,0,3,24,2.088,11,0
Ahnfeltia plicata,2005,8,0,3,24,1.7399999999999998,11,0
Ahnfeltia plicata,2005,9,0,3,24,1.392,11,0
Ahnfeltia plicata,2005,10,0,3,24,1.044,11,0
Ahnfeltia plicata,2005,11,0,3,24,0.696,11,0
Ahnfeltia plicata,2005,12,0,3,24,0.348,11,0
Ahnfeltia plicata,2005,13,0,2,24,0,11,0
Ahnfeltia plicata,2006,6,0,5,25,2.436,11,0
Ahnfeltia plicata,2006,7,0,5,25,2.088,11,0
Ahnfeltia plicata,2006,8,0,5,25,1.7399999999999998,11,0
Ahnfeltia plicata,2006,9,3,5,25,1.392,11,0.03
Ahnfeltia plicata,2006,10,0,5,25,1.044,11,0
Ahnfeltia plicata,2006,11,0,5,25,0.696,11,0
Ahnfeltia plicata,2006,12,0,4,25,0.348,11,0
Ahnfeltia plicata,2006,13,0,3,25,0,11,0
Ahnfeltia plicata,2009,6,0,5,28,2.436,11,0
Ahnfeltia plicata,2009,7,6.666666666666668e-4,5,28,2.088,11,6.6666666666666675e-6
Ahnfeltia plicata,2009,8,0,5,28,1.7399999999999998,11,0
Ahnfeltia plicata,2009,9,0,5,28,1.392,11,0
Ahnfeltia plicata,2009,10,0,5,28,1.044,11,0
Ahnfeltia plicata,2009,11,0,5,28,0.696,11,0
Ahnfeltia plicata,2009,12,0,4,28,0.348,11,0
Ahnfeltia plicata,2009,13,0,1,28,0,11,0
Ahnfeltia plicata,2010,6,0.3888888888888889,3,29,2.436,11,0.0038888888888888888
Ahnfeltia plicata,2010,7,0,3,29,2.088,11,0
Ahnfeltia plicata,2010,8,0,3,29,1.7399999999999998,11,0
Ahnfeltia plicata,2010,9,0,3,29,1.392,11,0
Ahnfeltia plicata,2010,10,0,3,29,1.044,11,0
Ahnfeltia plicata,2010,11,0,3,29,0.696,11,0
Ahnfeltia plicata,2010,12,0,3,29,0.348,11,0
Ahnfeltia plicata,2010,13,0,2,29,0,11,0
Ahnfeltia plicata,2011,6,0,4,30,2.436,11,0
Ahnfeltia plicata,2011,7,0,4,30,2.088,11,0
Ahnfeltia plicata,2011,8,0,4,30,1.7399999999999998,11,0
Ahnfeltia plicata,2011,9,0,4,30,1.392,11,0
Ahnfeltia plicata,2011,10,0,4,30,1.044,11,0
Ahnfeltia plicata,2011,11,0,4,30,0.696,11,0
Ahnfeltia plicata,2011,12,0,4,30,0.348,11,0
Ahnfeltia plicata,2012,6,0,4,31,2.436,11,0
Ahnfeltia plicata,2012,7,0,4,31,2.088,11,0
Ahnfeltia plicata,2012,8,0,4,31,1.7399999999999998,11,0
Ahnfeltia plicata,2012,9,0,4,31,1.392,11,0
Ahnfeltia plicata,2012,10,0,4,31,1.044,11,0
Ahnfeltia plicata,2012,11,0,4,31,0.696,11,0
Ahnfeltia plicata,2012,12,0.1111111111111111,3,31,0.348,11,0.0011111111111111111
Ahnfeltia plicata,2013,6,0,3,32,2.436,11,0
Ahnfeltia plicata,2013,7,0,2,32,2.088,11,0
Ahnfeltia plicata,2013,8,2.6666666666666665,3,32,1.7399999999999998,11,0.026666666666666665
Ahnfeltia plicata,2013,9,0,3,32,1.392,11,0
Ahnfeltia plicata,2013,10,0,3,32,1.044,11,0
Ahnfeltia plicata,2013,11,0,3,32,0.696,11,0
Ahnfeltia plicata,2013,12,0,3,32,0.348,11,0
Ahnfeltia plicata,2013,13,0,2,32,0,11,0
Ahnfeltia plicata,2014,6,0,4,33,2.436,11,0
Ahnfeltia plicata,2014,7,0,4,33,2.088,11,0
Ahnfeltia plicata,2014,8,0,4,33,1.7399999999999998,11,0
Ahnfeltia plicata,2014,9,0,4,33,1.392,11,0
Ahnfeltia plicata,2014,10,0,4,33,1.044,11,0
Ahnfeltia plicata,2014,11,0,4,33,0.696,11,0
Ahnfeltia plicata,2014,12,0,4,33,0.348,11,0
Ahnfeltia plicata,2014,13,0,2,33,0,11,0
Ahnfeltia plicata,2015,6,0,3,34,2.436,11,0
Ahnfeltia plicata,2015,7,0,3,34,2.088,11,0
Ahnfeltia plicata,2015,8,0.2222222222222222,3,34,1.7399999999999998,11,0.0022222222222222222
Ahnfeltia plicata,2015,9,0,3,34,1.392,11,0
Ahnfeltia plicata,2015,10,0.1111111111111111,3,34,1.044,11,0.0011111111111111111
Ahnfeltia plicata,2015,11,0,3,34,0.696,11,0
Ahnfeltia plicata,2015,12,0,2,34,0.348,11,0
Ahnfeltia plicata,2016,6,0,3,35,2.436,11,0
Ahnfeltia plicata,2016,7,0,3,35,2.088,11,0
Ahnfeltia plicata,2016,8,0,3,35,1.7399999999999998,11,0
Ahnfeltia plicata,2016,9,0,3,35,1.392,11,0
Ahnfeltia plicata,2016,10,0,3,35,1.044,11,0
Ahnfeltia plicata,2016,11,0,3,35,0.696,11,0
Ahnfeltia plicata,2016,12,0,3,35,0.348,11,0
Ahnfeltia plicata,2016,13,0,1,35,0,11,0
Ahnfeltia plicata,2019,6,0,5,38,2.436,11,0
Ahnfeltia plicata,2019,7,0,5,38,2.088,11,0
Ahnfeltia plicata,2019,8,0,5,38,1.7399999999999998,11,0
Ahnfeltia plicata,2019,9,0,5,38,1.392,11,0
Ahnfeltia plicata,2019,10,0,5,38,1.044,11,0
Ahnfeltia plicata,2019,11,0,5,38,0.696,11,0
Ahnfeltia plicata,2019,12,0,5,38,0.348,11,0
Ahnfeltia plicata,2019,13,0,2,38,0,11,0
Ahnfeltia plicata,2020,6,0,3,39,2.436,11,0
Ahnfeltia plicata,2020,7,0,3,39,2.088,11,0
Ahnfeltia plicata,2020,8,0,3,39,1.7399999999999998,11,0
Ahnfeltia plicata,2020,9,0,3,39,1.392,11,0
Ahnfeltia plicata,2020,10,0,3,39,1.044,11,0
Ahnfeltia plicata,2020,11,0,3,39,0.696,11,0
Ahnfeltia plicata,2020,12,0,2,39,0.348,11,0
Ahnfeltia plicata,2020,13,0,2,39,0,11,0
Ahnfeltia plicata,2021,6,0,4,40,2.436,11,0
Ahnfeltia plicata,2021,7,0,5,40,2.088,11,0
Ahnfeltia plicata,2021,8,0,5,40,1.7399999999999998,11,0
Ahnfeltia plicata,2021,9,0,5,40,1.392,11,0
Ahnfeltia plicata,2021,10,0,5,40,1.044,11,0
Ahnfeltia plicata,2021,11,0,5,40,0.696,11,0
Ahnfeltia plicata,2021,12,0,5,40,0.348,11,0
Ahnfeltia plicata,2021,13,0,4,40,0,11,0
Ahnfeltia plicata,2022,6,0,4,41,2.436,11,0
Ahnfeltia plicata,2022,7,0,4,41,2.088,11,0
Ahnfeltia plicata,2022,8,0,4,41,1.7399999999999998,11,0
Ahnfeltia plicata,2022,9,0,4,41,1.392,11,0
Ahnfeltia plicata,2022,10,0,4,41,1.044,11,0
Ahnfeltia plicata,2022,11,0,4,41,0.696,11,0
Ahnfeltia plicata,2022,12,0,4,41,0.348,11,0
Ahnfeltia plicata,2022,13,0,3,41,0,11,0
Ahnfeltia plicata,2023,6,0,5,42,2.436,11,0
Ahnfeltia plicata,2023,7,0,5,42,2.088,11,0
Ahnfeltia plicata,2023,8,0,5,42,1.7399999999999998,11,0
Ahnfeltia plicata,2023,9,0,5,42,1.392,11,0
Ahnfeltia plicata,2023,10,0,5,42,1.044,11,0
Ahnfeltia plicata,2023,11,0,5,42,0.696,11,0
Ahnfeltia plicata,2023,12,0.0013333333333333335,5,42,0.348,11,1.3333333333333335e-5
Ahnfeltia plicata,2023,13,0.004,5,42,0,11,4e-5
Alaria esculenta,1982,8,0,3,1,1.7399999999999998,23,0
Alaria esculenta,1982,9,0,3,1,1.392,23,0
Alaria esculenta,1982,10,0,3,1,1.044,23,0
Alaria esculenta,1982,11,0,3,1,0.696,23,0
Alaria esculenta,1982,12,0,3,1,0.348,23,0
Alaria esculenta,1982,13,0,3,1,0,23,0
Alaria esculenta,1983,8,0,3,2,1.7399999999999998,23,0
Alaria esculenta,1983,9,1.6666666666666667,3,2,1.392,23,0.016666666666666666
Alaria esculenta,1983,10,0.6666666666666666,3,2,1.044,23,0.006666666666666666
Alaria esculenta,1983,11,0,3,2,0.696,23,0
Alaria esculenta,1983,12,0.3333333333333333,3,2,0.348,23,0.003333333333333333
Alaria esculenta,1984,8,0,3,3,1.7399999999999998,23,0
Alaria esculenta,1984,9,0,3,3,1.392,23,0
Alaria esculenta,1984,10,0,3,3,1.044,23,0
Alaria esculenta,1984,11,0,3,3,0.696,23,0
Alaria esculenta,1984,12,0,3,3,0.348,23,0
Alaria esculenta,1984,13,13.333333333333334,3,3,0,23,0.13333333333333333
Alaria esculenta,1986,8,0,3,5,1.7399999999999998,23,0
Alaria esculenta,1986,9,0,3,5,1.392,23,0
Alaria esculenta,1986,10,0,3,5,1.044,23,0
Alaria esculenta,1986,11,0,3,5,0.696,23,0
Alaria esculenta,1986,12,0,3,5,0.348,23,0
Alaria esculenta,1987,8,0,3,6,1.7399999999999998,23,0
Alaria esculenta,1987,9,0,3,6,1.392,23,0
Alaria esculenta,1987,10,0,3,6,1.044,23,0
Alaria esculenta,1987,11,0,3,6,0.696,23,0
Alaria esculenta,1987,12,3.333333333333333,3,6,0.348,23,0.03333333333333333
Alaria esculenta,1987,13,27.666666666666668,3,6,0,23,0.27666666666666667
Alaria esculenta,1988,8,0,3,7,1.7399999999999998,23,0
Alaria esculenta,1988,9,0,3,7,1.392,23,0
Alaria esculenta,1988,10,0,3,7,1.044,23,0
Alaria esculenta,1988,11,2.6666666666666665,3,7,0.696,23,0.026666666666666665
Alaria esculenta,1988,12,21.11111111111111,3,7,0.348,23,0.2111111111111111
Alaria esculenta,1988,13,2,1,7,0,23,0.02
Alaria esculenta,1989,8,0,3,8,1.7399999999999998,23,0
Alaria esculenta,1989,9,0,3,8,1.392,23,0
Alaria esculenta,1989,10,0,3,8,1.044,23,0
Alaria esculenta,1989,11,2.0833333333333335,3,8,0.696,23,0.020833333333333336
Alaria esculenta,1989,12,13.333333333333334,2,8,0.348,23,0.13333333333333333
Alaria esculenta,1989,13,0,1,8,0,23,0
Alaria esculenta,1990,8,0,3,9,1.7399999999999998,23,0
Alaria esculenta,1990,9,0,3,9,1.392,23,0
Alaria esculenta,1990,10,0,3,9,1.044,23,0
Alaria esculenta,1990,11,1.7777777777777777,3,9,0.696,23,0.017777777777777778
Alaria esculenta,1990,12,8.444444444444445,3,9,0.348,23,0.08444444444444445
Alaria esculenta,1990,13,73.33333333333333,3,9,0,23,0.7333333333333333
Alaria esculenta,1991,8,0,3,10,1.7399999999999998,23,0
Alaria esculenta,1991,9,0,3,10,1.392,23,0
Alaria esculenta,1991,10,0,3,10,1.044,23,0
Alaria esculenta,1991,11,0,3,10,0.696,23,0
Alaria esculenta,1991,12,2.777777777777778,3,10,0.348,23,0.02777777777777778
Alaria esculenta,1991,13,50,3,10,0,23,0.5
Alaria esculenta,1992,8,0.5,2,11,1.7399999999999998,23,0.005
Alaria esculenta,1992,9,0.08333333333333333,2,11,1.392,23,8.333333333333333e-4
Alaria esculenta,1992,10,18,2,11,1.044,23,0.18
Alaria esculenta,1992,11,64.16666666666667,2,11,0.696,23,0.6416666666666667
Alaria esculenta,1993,8,0,3,12,1.7399999999999998,23,0
Alaria esculenta,1993,9,0,3,12,1.392,23,0
Alaria esculenta,1993,10,0,3,12,1.044,23,0
Alaria esculenta,1993,11,1.5555555555555556,3,12,0.696,23,0.015555555555555555
Alaria esculenta,1993,12,8.722222222222223,3,12,0.348,23,0.08722222222222223
Alaria esculenta,1993,13,2.166666666666667,2,12,0,23,0.02166666666666667
Alaria esculenta,1994,8,0,3,13,1.7399999999999998,23,0
Alaria esculenta,1994,9,2.2222222222222223,3,13,1.392,23,0.022222222222222223
Alaria esculenta,1994,10,1.5,3,13,1.044,23,0.015
Alaria esculenta,1994,11,8.666666666666666,3,13,0.696,23,0.08666666666666666
Alaria esculenta,1994,12,12.555555555555555,3,13,0.348,23,0.12555555555555556
Alaria esculenta,1994,13,18.22222222222222,3,13,0,23,0.1822222222222222
Alaria esculenta,1995,8,0,2,14,1.7399999999999998,23,0
Alaria esculenta,1995,9,0,2,14,1.392,23,0
Alaria esculenta,1995,10,0,2,14,1.044,23,0
Alaria esculenta,1995,11,0,2,14,0.696,23,0
Alaria esculenta,1995,12,0,2,14,0.348,23,0
Alaria esculenta,1996,8,0,2,15,1.7399999999999998,23,0
Alaria esculenta,1996,9,0,2,15,1.392,23,0
Alaria esculenta,1996,10,0.8333333333333334,2,15,1.044,23,0.008333333333333333
Alaria esculenta,1996,11,0,2,15,0.696,23,0
Alaria esculenta,1996,12,36.666666666666664,1,15,0.348,23,0.36666666666666664
Alaria esculenta,1997,8,0,3,16,1.7399999999999998,23,0
Alaria esculenta,1997,9,0,3,16,1.392,23,0
Alaria esculenta,1997,10,0,3,16,1.044,23,0
Alaria esculenta,1997,11,0,3,16,0.696,23,0
Alaria esculenta,1997,12,0.5555555555555556,3,16,0.348,23,0.005555555555555556
Alaria esculenta,1997,13,0,1,16,0,23,0
Alaria esculenta,1998,8,0,3,17,1.7399999999999998,23,0
Alaria esculenta,1998,9,0,3,17,1.392,23,0
Alaria esculenta,1998,10,0.6666666666666667,3,17,1.044,23,0.006666666666666667
Alaria esculenta,1998,11,1.4444444444444444,3,17,0.696,23,0.014444444444444444
Alaria esculenta,1998,12,30.88888888888889,3,17,0.348,23,0.3088888888888889
Alaria esculenta,1998,13,22.5,2,17,0,23,0.225
Alaria esculenta,1999,8,0,3,18,1.7399999999999998,23,0
Alaria esculenta,1999,9,0,3,18,1.392,23,0
Alaria esculenta,1999,10,0,3,18,1.044,23,0
Alaria esculenta,1999,11,0,3,18,0.696,23,0
Alaria esculenta,1999,12,5,3,18,0.348,23,0.05
Alaria esculenta,1999,13,0.2222222222222222,3,18,0,23,0.0022222222222222222
Alaria esculenta,2000,8,0,3,19,1.7399999999999998,23,0
Alaria esculenta,2000,9,0,3,19,1.392,23,0
Alaria esculenta,2000,10,0.1111111111111111,3,19,1.044,23,0.0011111111111111111
Alaria esculenta,2000,11,8.88888888888889,3,19,0.696,23,0.08888888888888889
Alaria esculenta,2000,12,24.88888888888889,3,19,0.348,23,0.24888888888888888
Alaria esculenta,2000,13,45.66666666666667,2,19,0,23,0.4566666666666667
Alaria esculenta,2001,8,0,3,20,1.7399999999999998,23,0
Alaria esculenta,2001,9,0,3,20,1.392,23,0
Alaria esculenta,2001,10,0,3,20,1.044,23,0
Alaria esculenta,2001,11,5.555555555555556,3,20,0.696,23,0.05555555555555556
Alaria esculenta,2001,12,8.88888888888889,3,20,0.348,23,0.08888888888888889
Alaria esculenta,2001,13,25.555555555555554,3,20,0,23,0.25555555555555554
Alaria esculenta,2002,8,0,3,21,1.7399999999999998,23,0
Alaria esculenta,2002,9,0,3,21,1.392,23,0
Alaria esculenta,2002,10,0,3,21,1.044,23,0
Alaria esculenta,2002,11,15.555555555555555,3,21,0.696,23,0.15555555555555556
Alaria esculenta,2002,12,38.611111111111114,3,21,0.348,23,0.3861111111111111
Alaria esculenta,2002,13,16.666666666666668,2,21,0,23,0.16666666666666669
Alaria esculenta,2003,8,0,3,22,1.7399999999999998,23,0
Alaria esculenta,2003,9,0,3,22,1.392,23,0
Alaria esculenta,2003,10,0.6666666666666667,3,22,1.044,23,0.006666666666666667
Alaria esculenta,2003,11,1.6666666666666667,3,22,0.696,23,0.016666666666666666
Alaria esculenta,2003,12,18.11111111111111,3,22,0.348,23,0.1811111111111111
Alaria esculenta,2003,13,75,2,22,0,23,0.75
Alaria esculenta,2004,8,0,3,23,1.7399999999999998,23,0
Alaria esculenta,2004,9,0,3,23,1.392,23,0
Alaria esculenta,2004,10,4.444444444444445,3,23,1.044,23,0.044444444444444446
Alaria esculenta,2004,11,11.333333333333334,3,23,0.696,23,0.11333333333333334
Alaria esculenta,2004,12,13.666666666666666,3,23,0.348,23,0.13666666666666666
Alaria esculenta,2004,13,26,3,23,0,23,0.26
Alaria esculenta,2005,8,0,2,24,1.7399999999999998,23,0
Alaria esculenta,2005,9,0,2,24,1.392,23,0
Alaria esculenta,2005,10,0.16666666666666666,2,24,1.044,23,0.0016666666666666666
Alaria esculenta,2005,11,0.16666666666666666,2,24,0.696,23,0.0016666666666666666
Alaria esculenta,2005,12,0,1,24,0.348,23,0
Alaria esculenta,2006,8,0,2,25,1.7399999999999998,23,0
Alaria esculenta,2006,9,0,2,25,1.392,23,0
Alaria esculenta,2006,10,0,2,25,1.044,23,0
