organism,year,level,n_transects,year_zero,tidalheight,years_pres,density,density_nonzero
Anomia simplex,1990,13,7,9,0,14,0,0.01
Anomia simplex,1991,5,4,10,2.784,14,0,0.01
Anomia simplex,1991,6,5,10,2.436,14,0,0.01
Anomia simplex,1991,7,6,10,2.088,14,0,0.01
Anomia simplex,1991,8,6,10,1.7399999999999998,14,0,0.01
Anomia simplex,1991,9,6,10,1.392,14,0,0.01
Anomia simplex,1991,10,6,10,1.044,14,0,0.01
Anomia simplex,1991,11,6,10,0.696,14,0,0.01
Anomia simplex,1991,12,6,10,0.348,14,0,0.01
Anomia simplex,1991,13,6,10,0,14,0,0.01
Anomia simplex,1992,5,5,11,2.784,14,0,0.01
Anomia simplex,1992,6,6,11,2.436,14,0,0.01
Anomia simplex,1992,7,6,11,2.088,14,0,0.01
Anomia simplex,1992,8,6,11,1.7399999999999998,14,0,0.01
Anomia simplex,1992,9,6,11,1.392,14,0,0.01
Anomia simplex,1992,10,6,11,1.044,14,0,0.01
Anomia simplex,1992,11,6,11,0.696,14,0,0.01
Anomia simplex,1992,12,4,11,0.348,14,0,0.01
Anomia simplex,1992,13,4,11,0,14,0,0.01
Anomia simplex,1993,5,5,12,2.784,14,0,0.01
Anomia simplex,1993,6,7,12,2.436,14,0,0.01
Anomia simplex,1993,7,7,12,2.088,14,0,0.01
Anomia simplex,1993,8,7,12,1.7399999999999998,14,0,0.01
Anomia simplex,1993,9,7,12,1.392,14,0,0.01
Anomia simplex,1993,10,7,12,1.044,14,0,0.01
Anomia simplex,1993,11,7,12,0.696,14,0,0.01
Anomia simplex,1993,12,7,12,0.348,14,0,0.01
Anomia simplex,1993,13,5,12,0,14,0,0.01
Anomia simplex,1994,5,7,13,2.784,14,0,0.01
Anomia simplex,1994,6,7,13,2.436,14,0,0.01
Anomia simplex,1994,7,7,13,2.088,14,0,0.01
Anomia simplex,1994,8,7,13,1.7399999999999998,14,0,0.01
Anomia simplex,1994,9,7,13,1.392,14,0,0.01
Anomia simplex,1994,10,7,13,1.044,14,0,0.01
Anomia simplex,1994,11,7,13,0.696,14,0,0.01
Anomia simplex,1994,12,7,13,0.348,14,2.380952380952381,2.380952380952381
Anomia simplex,1994,13,7,13,0,14,0,0.01
Anomia simplex,1995,5,3,14,2.784,14,0,0.01
Anomia simplex,1995,6,6,14,2.436,14,0,0.01
Anomia simplex,1995,7,6,14,2.088,14,0,0.01
Anomia simplex,1995,8,6,14,1.7399999999999998,14,0,0.01
Anomia simplex,1995,9,6,14,1.392,14,0,0.01
Anomia simplex,1995,10,6,14,1.044,14,0,0.01
Anomia simplex,1995,11,6,14,0.696,14,0,0.01
Anomia simplex,1995,12,6,14,0.348,14,0,0.01
Anomia simplex,1995,13,5,14,0,14,0,0.01
Anomia simplex,1996,5,4,15,2.784,14,0,0.01
Anomia simplex,1996,6,3,15,2.436,14,0,0.01
Anomia simplex,1996,7,4,15,2.088,14,0,0.01
Anomia simplex,1996,8,4,15,1.7399999999999998,14,0,0.01
Anomia simplex,1996,9,4,15,1.392,14,0,0.01
Anomia simplex,1996,10,4,15,1.044,14,0,0.01
Anomia simplex,1996,11,4,15,0.696,14,0,0.01
Anomia simplex,1996,12,3,15,0.348,14,0,0.01
Anomia simplex,1996,13,2,15,0,14,0,0.01
Anomia simplex,1997,5,5,16,2.784,14,0,0.01
Anomia simplex,1997,6,6,16,2.436,14,0,0.01
Anomia simplex,1997,7,6,16,2.088,14,0,0.01
Anomia simplex,1997,8,6,16,1.7399999999999998,14,0,0.01
Anomia simplex,1997,9,6,16,1.392,14,16.666666666666664,16.666666666666664
Anomia simplex,1997,10,6,16,1.044,14,83.33333333333333,83.33333333333333
Anomia simplex,1997,11,6,16,0.696,14,0,0.01
Anomia simplex,1997,12,6,16,0.348,14,0,0.01
Anomia simplex,1997,13,4,16,0,14,0,0.01
Anomia simplex,1998,5,5,17,2.784,14,0,0.01
Anomia simplex,1998,6,5,17,2.436,14,0,0.01
Anomia simplex,1998,7,7,17,2.088,14,0,0.01
Anomia simplex,1998,8,7,17,1.7399999999999998,14,0,0.01
Anomia simplex,1998,9,7,17,1.392,14,0,0.01
Anomia simplex,1998,10,7,17,1.044,14,0,0.01
Anomia simplex,1998,11,7,17,0.696,14,0,0.01
Anomia simplex,1998,12,7,17,0.348,14,0,0.01
Anomia simplex,1998,13,6,17,0,14,0,0.01
Anomia simplex,1999,5,4,18,2.784,14,0,0.01
Anomia simplex,1999,6,5,18,2.436,14,0,0.01
Anomia simplex,1999,7,5,18,2.088,14,0,0.01
Anomia simplex,1999,8,5,18,1.7399999999999998,14,0,0.01
Anomia simplex,1999,9,5,18,1.392,14,0,0.01
Anomia simplex,1999,10,5,18,1.044,14,0,0.01
Anomia simplex,1999,11,5,18,0.696,14,0,0.01
Anomia simplex,1999,12,5,18,0.348,14,0,0.01
Anomia simplex,1999,13,5,18,0,14,0,0.01
Anomia simplex,2000,5,7,19,2.784,14,0,0.01
Anomia simplex,2000,6,7,19,2.436,14,20.238095238095237,20.238095238095237
Anomia simplex,2000,7,7,19,2.088,14,4.761904761904762,4.761904761904762
Anomia simplex,2000,8,7,19,1.7399999999999998,14,0,0.01
Anomia simplex,2000,9,7,19,1.392,14,0,0.01
Anomia simplex,2000,10,7,19,1.044,14,1.1904761904761905,1.1904761904761905
Anomia simplex,2000,11,7,19,0.696,14,2.380952380952381,2.380952380952381
Anomia simplex,2000,12,7,19,0.348,14,20.238095238095237,20.238095238095237
Anomia simplex,2000,13,6,19,0,14,23.61111111111111,23.61111111111111
Anomia simplex,2001,5,3,20,2.784,14,0,0.01
Anomia simplex,2001,6,5,20,2.436,14,0,0.01
Anomia simplex,2001,7,6,20,2.088,14,0,0.01
Anomia simplex,2001,8,6,20,1.7399999999999998,14,0,0.01
Anomia simplex,2001,9,6,20,1.392,14,0,0.01
Anomia simplex,2001,10,6,20,1.044,14,0,0.01
Anomia simplex,2001,11,6,20,0.696,14,0,0.01
Anomia simplex,2001,12,6,20,0.348,14,0,0.01
Anomia simplex,2001,13,6,20,0,14,1.3888888888888888,1.3888888888888888
Anomia simplex,2002,5,5,21,2.784,14,0,0.01
Anomia simplex,2002,6,5,21,2.436,14,0,0.01
Anomia simplex,2002,7,5,21,2.088,14,0,0.01
Anomia simplex,2002,8,5,21,1.7399999999999998,14,0,0.01
Anomia simplex,2002,9,5,21,1.392,14,3.333333333333333,3.333333333333333
Anomia simplex,2002,10,5,21,1.044,14,0,0.01
Anomia simplex,2002,11,5,21,0.696,14,0,0.01
Anomia simplex,2002,12,5,21,0.348,14,0,0.01
Anomia simplex,2002,13,4,21,0,14,2.083333333333333,2.083333333333333
Anomia simplex,2003,5,5,22,2.784,14,0,0.01
Anomia simplex,2003,6,5,22,2.436,14,0,0.01
Anomia simplex,2003,7,5,22,2.088,14,0,0.01
Anomia simplex,2003,8,5,22,1.7399999999999998,14,0,0.01
Anomia simplex,2003,9,5,22,1.392,14,0,0.01
Anomia simplex,2003,10,5,22,1.044,14,0,0.01
Anomia simplex,2003,11,5,22,0.696,14,0,0.01
Anomia simplex,2003,12,5,22,0.348,14,0,0.01
Anomia simplex,2003,13,4,22,0,14,0,0.01
Anomia simplex,2004,5,4,23,2.784,14,0,0.01
Anomia simplex,2004,6,5,23,2.436,14,5,5
Anomia simplex,2004,7,5,23,2.088,14,0,0.01
Anomia simplex,2004,8,5,23,1.7399999999999998,14,0,0.01
Anomia simplex,2004,9,5,23,1.392,14,0,0.01
Anomia simplex,2004,10,5,23,1.044,14,0,0.01
Anomia simplex,2004,11,5,23,0.696,14,0,0.01
Anomia simplex,2004,12,5,23,0.348,14,0,0.01
Anomia simplex,2004,13,5,23,0,14,6.666666666666666,6.666666666666666
Anomia simplex,2005,5,3,24,2.784,14,0,0.01
Anomia simplex,2005,6,4,24,2.436,14,0,0.01
Anomia simplex,2005,7,4,24,2.088,14,0,0.01
Anomia simplex,2005,8,4,24,1.7399999999999998,14,0,0.01
Anomia simplex,2005,9,4,24,1.392,14,0,0.01
Anomia simplex,2005,10,4,24,1.044,14,0,0.01
Anomia simplex,2005,11,4,24,0.696,14,0,0.01
Anomia simplex,2005,12,3,24,0.348,14,0,0.01
Anomia simplex,2005,13,2,24,0,14,0,0.01
Anomia simplex,2006,5,5,25,2.784,14,0,0.01
Anomia simplex,2006,6,6,25,2.436,14,1.3888888888888888,1.3888888888888888
Anomia simplex,2006,7,6,25,2.088,14,0,0.01
Anomia simplex,2006,8,6,25,1.7399999999999998,14,8.333333333333332,8.333333333333332
Anomia simplex,2006,9,6,25,1.392,14,5.555555555555555,5.555555555555555
Anomia simplex,2006,10,6,25,1.044,14,9.722222222222221,9.722222222222221
Anomia simplex,2006,11,6,25,0.696,14,9.722222222222221,9.722222222222221
Anomia simplex,2006,12,5,25,0.348,14,5,5
Anomia simplex,2006,13,3,25,0,14,2.7777777777777777,2.7777777777777777
Anomia simplex,2009,5,5,28,2.784,14,0,0.01
Anomia simplex,2009,6,6,28,2.436,14,0,0.01
Anomia simplex,2009,7,6,28,2.088,14,0,0.01
Anomia simplex,2009,8,6,28,1.7399999999999998,14,11.11111111111111,11.11111111111111
Anomia simplex,2009,9,6,28,1.392,14,0,0.01
Anomia simplex,2009,10,6,28,1.044,14,15.277777777777777,15.277777777777777
Anomia simplex,2009,11,6,28,0.696,14,8.333333333333334,8.333333333333334
Anomia simplex,2009,12,4,28,0.348,14,0,0.01
Anomia simplex,2009,13,1,28,0,14,0,0.01
Anomia simplex,2010,5,3,29,2.784,14,0,0.01
Anomia simplex,2010,6,3,29,2.436,14,0,0.01
Anomia simplex,2010,7,3,29,2.088,14,0,0.01
Anomia simplex,2010,8,3,29,1.7399999999999998,14,0,0.01
Anomia simplex,2010,9,3,29,1.392,14,0,0.01
Anomia simplex,2010,10,3,29,1.044,14,0,0.01
Anomia simplex,2010,11,3,29,0.696,14,5.555555555555555,5.555555555555555
Anomia simplex,2010,12,3,29,0.348,14,0,0.01
Anomia simplex,2010,13,2,29,0,14,0,0.01
Anomia simplex,2011,5,3,30,2.784,14,0,0.01
Anomia simplex,2011,6,4,30,2.436,14,0,0.01
Anomia simplex,2011,7,4,30,2.088,14,0,0.01
Anomia simplex,2011,8,4,30,1.7399999999999998,14,0,0.01
Anomia simplex,2011,9,4,30,1.392,14,0,0.01
Anomia simplex,2011,10,4,30,1.044,14,0,0.01
Anomia simplex,2011,11,4,30,0.696,14,0,0.01
Anomia simplex,2011,12,4,30,0.348,14,0,0.01
Anomia simplex,2012,5,4,31,2.784,14,0,0.01
Anomia simplex,2012,6,4,31,2.436,14,0,0.01
Anomia simplex,2012,7,4,31,2.088,14,0,0.01
Anomia simplex,2012,8,4,31,1.7399999999999998,14,0,0.01
Anomia simplex,2012,9,4,31,1.392,14,0,0.01
Anomia simplex,2012,10,4,31,1.044,14,0,0.01
Anomia simplex,2012,11,4,31,0.696,14,0,0.01
Anomia simplex,2012,12,3,31,0.348,14,0,0.01
Anomia simplex,2013,5,2,32,2.784,14,0,0.01
Anomia simplex,2013,6,3,32,2.436,14,0,0.01
Anomia simplex,2013,7,2,32,2.088,14,0,0.01
Anomia simplex,2013,8,3,32,1.7399999999999998,14,0,0.01
Anomia simplex,2013,9,3,32,1.392,14,0,0.01
Anomia simplex,2013,10,3,32,1.044,14,0,0.01
Anomia simplex,2013,11,3,32,0.696,14,0,0.01
Anomia simplex,2013,12,3,32,0.348,14,0,0.01
Anomia simplex,2013,13,2,32,0,14,0,0.01
Anomia simplex,2014,5,4,33,2.784,14,0,0.01
Anomia simplex,2014,6,4,33,2.436,14,0,0.01
Anomia simplex,2014,7,4,33,2.088,14,0,0.01
Anomia simplex,2014,8,4,33,1.7399999999999998,14,0,0.01
Anomia simplex,2014,9,4,33,1.392,14,0,0.01
Anomia simplex,2014,10,4,33,1.044,14,0,0.01
Anomia simplex,2014,11,4,33,0.696,14,4.166666666666666,4.166666666666666
Anomia simplex,2014,12,4,33,0.348,14,0,0.01
Anomia simplex,2014,13,2,33,0,14,0,0.01
Anomia simplex,2015,5,3,34,2.784,14,0,0.01
Anomia simplex,2015,6,4,34,2.436,14,2.083333333333333,2.083333333333333
Anomia simplex,2015,7,4,34,2.088,14,0,0.01
Anomia simplex,2015,8,4,34,1.7399999999999998,14,0,0.01
Anomia simplex,2015,9,4,34,1.392,14,0,0.01
Anomia simplex,2015,10,4,34,1.044,14,62.5,62.5
Anomia simplex,2015,11,4,34,0.696,14,22.916666666666668,22.916666666666668
Anomia simplex,2015,12,3,34,0.348,14,0,0.01
Anomia simplex,2016,5,4,35,2.784,14,0,0.01
Anomia simplex,2016,6,4,35,2.436,14,0,0.01
Anomia simplex,2016,7,4,35,2.088,14,0,0.01
Anomia simplex,2016,8,4,35,1.7399999999999998,14,0,0.01
Anomia simplex,2016,9,4,35,1.392,14,0,0.01
Anomia simplex,2016,10,4,35,1.044,14,0,0.01
Anomia simplex,2016,11,4,35,0.696,14,0,0.01
Anomia simplex,2016,12,3,35,0.348,14,0,0.01
Anomia simplex,2016,13,1,35,0,14,0,0.01
Anomia simplex,2019,5,4,38,2.784,14,0,0.01
Anomia simplex,2019,6,5,38,2.436,14,0,0.01
Anomia simplex,2019,7,5,38,2.088,14,0,0.01
Anomia simplex,2019,8,5,38,1.7399999999999998,14,0,0.01
Anomia simplex,2019,9,5,38,1.392,14,0,0.01
Anomia simplex,2019,10,5,38,1.044,14,0,0.01
Anomia simplex,2019,11,5,38,0.696,14,0,0.01
Anomia simplex,2019,12,5,38,0.348,14,0,0.01
Anomia simplex,2019,13,2,38,0,14,0,0.01
Anomia simplex,2020,5,3,39,2.784,14,0,0.01
Anomia simplex,2020,6,3,39,2.436,14,0,0.01
Anomia simplex,2020,7,3,39,2.088,14,0,0.01
Anomia simplex,2020,8,3,39,1.7399999999999998,14,0,0.01
Anomia simplex,2020,9,3,39,1.392,14,0,0.01
Anomia simplex,2020,10,3,39,1.044,14,0,0.01
Anomia simplex,2020,11,3,39,0.696,14,0,0.01
Anomia simplex,2020,12,2,39,0.348,14,0,0.01
Anomia simplex,2020,13,2,39,0,14,0,0.01
Anomia simplex,2021,5,4,40,2.784,14,0,0.01
Anomia simplex,2021,6,5,40,2.436,14,0,0.01
Anomia simplex,2021,7,6,40,2.088,14,0,0.01
Anomia simplex,2021,8,6,40,1.7399999999999998,14,0,0.01
Anomia simplex,2021,9,6,40,1.392,14,0,0.01
Anomia simplex,2021,10,6,40,1.044,14,0,0.01
Anomia simplex,2021,11,6,40,0.696,14,0,0.01
Anomia simplex,2021,12,5,40,0.348,14,0,0.01
Anomia simplex,2021,13,4,40,0,14,0,0.01
Anomia simplex,2022,5,4,41,2.784,14,0,0.01
Anomia simplex,2022,6,5,41,2.436,14,0,0.01
Anomia simplex,2022,7,5,41,2.088,14,0,0.01
Anomia simplex,2022,8,5,41,1.7399999999999998,14,0,0.01
Anomia simplex,2022,9,5,41,1.392,14,0,0.01
Anomia simplex,2022,10,5,41,1.044,14,0,0.01
Anomia simplex,2022,11,5,41,0.696,14,0,0.01
Anomia simplex,2022,12,5,41,0.348,14,0,0.01
Anomia simplex,2022,13,4,41,0,14,0,0.01
Anomia simplex,2023,5,5,42,2.784,14,0,0.01
Anomia simplex,2023,6,5,42,2.436,14,0,0.01
Anomia simplex,2023,7,5,42,2.088,14,0,0.01
Anomia simplex,2023,8,5,42,1.7399999999999998,14,0,0.01
Anomia simplex,2023,9,5,42,1.392,14,0,0.01
Anomia simplex,2023,10,5,42,1.044,14,0,0.01
Anomia simplex,2023,11,5,42,0.696,14,0,0.01
Anomia simplex,2023,12,5,42,0.348,14,0,0.01
Anomia simplex,2023,13,5,42,0,14,0,0.01
Anurida maritima,1982,5,7,1,2.784,36,7.142857142857143,7.142857142857143
Anurida maritima,1982,6,7,1,2.436,36,0,0.01
Anurida maritima,1982,7,7,1,2.088,36,0,0.01
Anurida maritima,1982,8,7,1,1.7399999999999998,36,0,0.01
Anurida maritima,1982,9,7,1,1.392,36,0,0.01
Anurida maritima,1982,10,7,1,1.044,36,0,0.01
Anurida maritima,1982,11,7,1,0.696,36,0,0.01
Anurida maritima,1982,12,7,1,0.348,36,0,0.01
Anurida maritima,1982,13,7,1,0,36,0,0.01
Anurida maritima,1983,5,7,2,2.784,36,28.571428571428573,28.571428571428573
Anurida maritima,1983,6,7,2,2.436,36,71.42857142857143,71.42857142857143
Anurida maritima,1983,7,7,2,2.088,36,92.85714285714286,92.85714285714286
Anurida maritima,1983,8,7,2,1.7399999999999998,36,71.42857142857143,71.42857142857143
Anurida maritima,1983,9,7,2,1.392,36,21.428571428571427,21.428571428571427
Anurida maritima,1983,10,7,2,1.044,36,7.142857142857143,7.142857142857143
Anurida maritima,1983,11,7,2,0.696,36,0,0.01
Anurida maritima,1983,12,6,2,0.348,36,16.666666666666664,16.666666666666664
Anurida maritima,1984,5,6,3,2.784,36,83.33333333333333,83.33333333333333
Anurida maritima,1984,6,6,3,2.436,36,166.66666666666666,166.66666666666666
Anurida maritima,1984,7,6,3,2.088,36,141.66666666666669,141.66666666666669
Anurida maritima,1984,8,6,3,1.7399999999999998,36,1666.6666666666667,1666.6666666666667
Anurida maritima,1984,9,6,3,1.392,36,1458.3333333333335,1458.3333333333335
Anurida maritima,1984,10,6,3,1.044,36,1879.1666666666667,1879.1666666666667
Anurida maritima,1984,11,6,3,0.696,36,520.8333333333333,520.8333333333333
Anurida maritima,1984,12,6,3,0.348,36,0,0.01
Anurida maritima,1984,13,5,3,0,36,0,0.01
Anurida maritima,1986,5,7,5,2.784,36,507.1428571428571,507.1428571428571
Anurida maritima,1986,6,7,5,2.436,36,285.7142857142857,285.7142857142857
Anurida maritima,1986,7,7,5,2.088,36,171.42857142857142,171.42857142857142
Anurida maritima,1986,8,7,5,1.7399999999999998,36,2.380952380952381,2.380952380952381
Anurida maritima,1986,9,7,5,1.392,36,0,0.01
Anurida maritima,1986,10,7,5,1.044,36,0,0.01
Anurida maritima,1986,11,7,5,0.696,36,0,0.01
Anurida maritima,1986,12,7,5,0.348,36,0,0.01
Anurida maritima,1986,13,5,5,0,36,0,0.01
Anurida maritima,1987,5,5,6,2.784,36,75,75
Anurida maritima,1987,6,7,6,2.436,36,30.952380952380953,30.952380952380953
Anurida maritima,1987,7,7,6,2.088,36,10.714285714285714,10.714285714285714
Anurida maritima,1987,8,7,6,1.7399999999999998,36,128.57142857142858,128.57142857142858
Anurida maritima,1987,9,7,6,1.392,36,3.5714285714285716,3.5714285714285716
Anurida maritima,1987,10,7,6,1.044,36,0,0.01
Anurida maritima,1987,11,7,6,0.696,36,0,0.01
Anurida maritima,1987,12,7,6,0.348,36,1.1904761904761905,1.1904761904761905
Anurida maritima,1987,13,7,6,0,36,0,0.01
Anurida maritima,1988,5,6,7,2.784,36,70.83333333333334,70.83333333333334
Anurida maritima,1988,6,6,7,2.436,36,43.05555555555556,43.05555555555556
Anurida maritima,1988,7,7,7,2.088,36,142.85714285714286,142.85714285714286
Anurida maritima,1988,8,7,7,1.7399999999999998,36,10.714285714285714,10.714285714285714
Anurida maritima,1988,9,7,7,1.392,36,3.5714285714285716,3.5714285714285716
Anurida maritima,1988,10,7,7,1.044,36,0,0.01
Anurida maritima,1988,11,7,7,0.696,36,0,0.01
Anurida maritima,1988,12,7,7,0.348,36,0,0.01
Anurida maritima,1988,13,5,7,0,36,0,0.01
Anurida maritima,1989,5,5,8,2.784,36,95,95
Anurida maritima,1989,6,7,8,2.436,36,42.85714285714286,42.85714285714286
Anurida maritima,1989,7,7,8,2.088,36,14.285714285714286,14.285714285714286
Anurida maritima,1989,8,7,8,1.7399999999999998,36,35.714285714285715,35.714285714285715
Anurida maritima,1989,9,7,8,1.392,36,119.04761904761904,119.04761904761904
Anurida maritima,1989,10,7,8,1.044,36,0,0.01
Anurida maritima,1989,11,7,8,0.696,36,0,0.01
Anurida maritima,1989,12,6,8,0.348,36,0,0.01
Anurida maritima,1989,13,4,8,0,36,0,0.01
Anurida maritima,1990,5,5,9,2.784,36,20,20
Anurida maritima,1990,6,7,9,2.436,36,23.80952380952381,23.80952380952381
Anurida maritima,1990,7,7,9,2.088,36,78.57142857142858,78.57142857142858
Anurida maritima,1990,8,7,9,1.7399999999999998,36,0,0.01
Anurida maritima,1990,9,7,9,1.392,36,1.1904761904761905,1.1904761904761905
Anurida maritima,1990,10,7,9,1.044,36,0,0.01
Anurida maritima,1990,11,7,9,0.696,36,0,0.01
Anurida maritima,1990,12,7,9,0.348,36,0,0.01
Anurida maritima,1990,13,7,9,0,36,0,0.01
Anurida maritima,1991,5,4,10,2.784,36,362.5,362.5
Anurida maritima,1991,6,5,10,2.436,36,5,5
Anurida maritima,1991,7,6,10,2.088,36,212.50000000000003,212.50000000000003
Anurida maritima,1991,8,6,10,1.7399999999999998,36,41.666666666666664,41.666666666666664
Anurida maritima,1991,9,6,10,1.392,36,0,0.01
Anurida maritima,1991,10,6,10,1.044,36,1.3888888888888888,1.3888888888888888
Anurida maritima,1991,11,6,10,0.696,36,12.5,12.5
Anurida maritima,1991,12,6,10,0.348,36,0,0.01
Anurida maritima,1991,13,6,10,0,36,0,0.01
Anurida maritima,1992,5,5,11,2.784,36,60,60
Anurida maritima,1992,6,6,11,2.436,36,81.94444444444446,81.94444444444446
Anurida maritima,1992,7,6,11,2.088,36,48.611111111111114,48.611111111111114
Anurida maritima,1992,8,6,11,1.7399999999999998,36,30.555555555555554,30.555555555555554
Anurida maritima,1992,9,6,11,1.392,36,104.16666666666667,104.16666666666667
Anurida maritima,1992,10,6,11,1.044,36,1.3888888888888888,1.3888888888888888
Anurida maritima,1992,11,6,11,0.696,36,0,0.01
Anurida maritima,1992,12,4,11,0.348,36,0,0.01
Anurida maritima,1992,13,4,11,0,36,0,0.01
Anurida maritima,1993,5,5,12,2.784,36,53.33333333333333,53.33333333333333
Anurida maritima,1993,6,7,12,2.436,36,101.19047619047618,101.19047619047618
Anurida maritima,1993,7,7,12,2.088,36,60.714285714285715,60.714285714285715
Anurida maritima,1993,8,7,12,1.7399999999999998,36,71.42857142857143,71.42857142857143
Anurida maritima,1993,9,7,12,1.392,36,14.285714285714286,14.285714285714286
Anurida maritima,1993,10,7,12,1.044,36,0,0.01
Anurida maritima,1993,11,7,12,0.696,36,0,0.01
Anurida maritima,1993,12,7,12,0.348,36,0,0.01
Anurida maritima,1993,13,5,12,0,36,0,0.01
Anurida maritima,1994,5,7,13,2.784,36,38.095238095238095,38.095238095238095
Anurida maritima,1994,6,7,13,2.436,36,36.904761904761905,36.904761904761905
Anurida maritima,1994,7,7,13,2.088,36,79.76190476190477,79.76190476190477
Anurida maritima,1994,8,7,13,1.7399999999999998,36,5.9523809523809526,5.9523809523809526
Anurida maritima,1994,9,7,13,1.392,36,0,0.01
Anurida maritima,1994,10,7,13,1.044,36,0,0.01
Anurida maritima,1994,11,7,13,0.696,36,0,0.01
Anurida maritima,1994,12,7,13,0.348,36,0,0.01
Anurida maritima,1994,13,7,13,0,36,0,0.01
Anurida maritima,1995,5,3,14,2.784,36,0,0.01
Anurida maritima,1995,6,6,14,2.436,36,4.166666666666666,4.166666666666666
Anurida maritima,1995,7,6,14,2.088,36,66.66666666666666,66.66666666666666
Anurida maritima,1995,8,6,14,1.7399999999999998,36,27.77777777777778,27.77777777777778
Anurida maritima,1995,9,6,14,1.392,36,45.833333333333336,45.833333333333336
Anurida maritima,1995,10,6,14,1.044,36,8.333333333333332,8.333333333333332
Anurida maritima,1995,11,6,14,0.696,36,0,0.01
