year,transect,level,replicate,both_taken
1983,17,12,1,both
1983,18,1,1,both
1983,18,2,1,both
1983,18,3,1,both
1983,18,4,1,both
1983,18,5,1,both
1983,18,6,1,both
1983,18,7,1,both
1983,18,8,1,both
1983,18,9,1,both
1983,18,10,1,both
1983,18,11,1,both
1983,18,12,1,both
1983,18,13,1,both
1983,20,1,1,both
1983,20,2,1,both
1983,20,3,1,both
1983,20,4,1,both
1983,20,5,1,both
1983,20,6,1,both
1983,20,7,1,both
1983,20,8,1,both
1983,20,9,1,both
1983,20,10,1,both
1983,20,11,1,both
1983,20,12,1,both
1983,22,0,1,both
1983,22,1,1,both
1983,22,2,1,both
1983,22,3,1,both
1983,22,4,1,both
1983,22,5,1,both
1983,22,6,1,both
1983,22,7,1,both
1983,22,8,1,both
1983,22,9,1,both
1983,22,10,1,both
1983,22,11,1,both
1983,22,12,1,both
1983,23,1,1,both
1983,23,2,1,both
1983,23,3,1,both
1983,23,5,1,both
1983,23,6,1,both
1983,23,7,1,both
1983,23,8,1,both
1983,23,9,1,both
1983,23,10,1,both
1983,23,11,1,both
1983,23,12,1,both
1983,23,13,1,both
1983,24,0,1,both
1983,24,1,1,both
1983,24,2,1,both
1983,24,3,1,both
1983,24,4,1,both
1983,24,5,1,both
1983,24,6,1,both
1983,24,7,1,both
1983,24,8,1,both
1983,24,9,1,both
1983,24,10,1,both
1983,24,11,1,both
1983,24,12,1,both
1983,26,2,1,both
1983,26,3,1,both
1983,26,4,1,both
1983,26,5,1,both
1983,26,6,1,both
1983,26,7,1,both
1983,26,8,1,both
1983,26,9,1,both
1983,26,10,1,both
1983,26,11,1,both
1983,28,3,1,both
1983,28,4,1,both
1983,28,5,1,both
1983,28,6,1,both
1983,28,7,1,both
1983,28,8,1,both
1983,28,9,1,both
1983,28,10,1,both
1983,28,11,1,both
1983,28,12,1,both
1984,1,4,1,both
1984,1,5,1,both
1984,1,6,1,both
1984,1,7,1,both
1984,1,8,1,both
1984,1,9,1,both
1984,1,10,1,both
1984,1,11,1,both
1984,1,12,1,both
1984,2,3,1,both
1984,2,4,1,both
1984,2,5,1,both
1984,2,6,1,both
1984,2,7,1,both
1984,2,8,1,both
1984,2,9,1,both
1984,2,10,1,both
1984,2,11,1,both
1984,2,12,1,both
1984,2,13,1,both
1984,7,2,1,both
1984,7,3,1,both
1984,7,4,1,both
1984,7,5,1,both
1984,7,6,1,both
1984,7,7,1,both
1984,7,8,1,both
1984,7,9,1,both
1984,7,10,1,both
1984,7,11,1,both
1984,7,12,1,both
1984,10,2,1,both
1984,10,3,1,both
1984,10,4,1,both
1984,10,5,1,both
1984,10,6,1,both
1984,10,7,1,both
1984,10,8,1,both
1984,10,9,1,both
1984,10,10,1,both
1984,10,11,1,both
1984,10,12,1,both
1984,10,13,1,both
1984,11,3,1,both
1984,11,4,1,both
1984,11,5,1,both
1984,11,6,1,both
1984,11,7,1,both
1984,11,8,1,both
1984,11,9,1,both
1984,11,10,1,both
1984,11,11,1,both
1984,11,12,1,both
1984,13,0,1,both
1984,13,1,1,both
1984,13,2,1,both
1984,13,3,1,both
1984,13,4,1,both
1984,13,5,1,both
1984,13,6,1,both
1984,13,7,1,both
1984,13,8,1,both
1984,13,9,1,both
1984,13,10,1,both
1984,13,11,1,both
1984,13,12,1,both
1984,15,0,1,both
1984,15,1,1,both
1984,15,2,1,both
1984,15,3,1,both
1984,15,4,1,both
1984,15,5,1,both
1984,15,6,1,both
1984,15,7,1,both
1984,15,8,1,both
1984,15,9,1,both
1984,15,10,1,both
1984,15,11,1,both
1984,15,12,1,both
1984,15,13,1,both
1984,18,0,1,both
1984,18,1,1,both
1984,18,2,1,both
1984,18,3,1,both
1984,18,4,1,both
1984,18,5,1,both
1984,18,6,1,both
1984,18,7,1,both
1984,18,8,1,both
1984,18,9,1,both
1984,18,10,1,both
1984,18,11,1,both
1984,18,12,1,both
1984,18,13,1,both
1984,20,1,1,both
1984,20,2,1,both
1984,20,3,1,both
1984,20,4,1,both
1984,20,5,1,both
1984,20,6,1,both
1984,20,7,1,both
1984,20,8,1,both
1984,20,9,1,both
1984,20,10,1,both
1984,20,11,1,both
1984,20,12,1,both
1984,20,13,1,both
1984,22,-1,1,both
1984,22,0,1,both
1984,22,1,1,both
1984,22,2,1,both
1984,22,3,1,both
1984,22,4,1,both
1984,22,5,1,both
1984,22,6,1,both
1984,22,7,1,both
1984,22,8,1,both
1984,22,9,1,both
1984,22,10,1,both
1984,22,11,1,both
1984,22,12,1,both
1984,22,13,1,both
1984,24,1,1,both
1984,24,2,1,both
1984,24,4,1,both
1984,24,5,1,both
1984,24,6,1,both
1984,24,7,1,both
1984,24,8,1,both
1984,24,9,1,both
1984,24,10,1,both
1984,24,11,1,both
1984,24,12,1,both
1984,26,0,1,both
1984,26,1,1,both
1984,26,2,1,both
1984,26,3,1,both
1984,26,4,1,both
1984,26,5,1,both
1984,26,6,1,both
1984,26,7,1,both
1984,26,8,1,both
1984,26,9,1,both
1984,26,10,1,both
1984,26,11,1,both
1984,26,12,1,both
1984,26,13,1,both
1984,28,0,1,both
1984,28,1,1,both
1984,28,2,1,both
1984,28,3,1,both
1984,28,4,1,both
1984,28,5,1,both
1984,28,6,1,both
1984,28,7,1,both
1984,28,8,1,both
1984,28,9,1,both
1984,28,10,1,both
1984,28,11,1,both
1984,28,12,1,both
1984,28,13,1,both
1985,1,6,1,both
1985,1,6,2,both
1985,1,6,3,both
1985,1,10,1,both
1985,1,10,2,both
1985,1,10,3,both
1985,1,12,1,both
1985,1,12,2,both
1985,1,12,3,both
1985,2,6,1,both
1985,2,6,2,both
1985,2,6,3,both
1985,2,9,1,both
1985,2,9,2,both
1985,2,9,3,both
1985,5,0,1,both
1985,5,6,1,both
1985,5,6,2,both
1985,5,6,3,both
1985,5,9,1,both
1985,5,9,2,both
1985,5,9,3,both
1985,7,6,1,both
1985,7,6,2,both
1985,7,6,3,both
1985,7,9,1,both
1985,7,9,2,both
1985,7,9,3,both
1985,7,12,1,both
1985,7,12,2,both
1985,7,12,3,both
1985,8,6,1,both
1985,8,6,2,both
1985,8,6,3,both
1985,8,9,1,both
1985,8,9,2,both
1985,8,9,3,both
1985,8,12,1,both
1985,8,12,2,both
1985,8,12,3,both
1985,13,6,1,both
1985,13,6,2,both
1985,13,6,3,both
1985,13,9,1,both
1985,13,9,2,both
1985,13,9,3,both
1985,13,12,1,both
1985,13,12,2,both
1985,14,7,1,both
1985,14,7,2,both
1985,14,7,3,both
1985,14,10,1,both
1985,14,10,2,both
1985,14,10,3,both
1985,14,13,1,both
1985,14,13,2,both
1985,14,13,3,both
1985,17,6,1,both
1985,17,6,2,both
1985,17,6,3,both
1985,17,9,1,both
1985,17,9,2,both
1985,17,9,3,both
1985,17,12,1,both
1985,17,12,2,both
1985,17,12,3,both
1985,18,6,1,both
1985,18,6,2,both
1985,18,6,3,both
1985,18,9,1,both
1985,18,9,2,both
1985,18,9,3,both
1985,18,12,1,both
1985,18,12,2,both
1985,18,12,3,both
1985,19,6,1,both
1985,19,6,2,both
1985,19,6,3,both
1985,19,6,4,both
1985,19,9,1,both
1985,19,9,2,both
1985,19,9,3,both
1985,19,9,4,both
1985,22,6,1,both
1985,22,6,2,both
1985,22,6,3,both
1985,22,9,1,both
1985,22,9,2,both
1985,22,9,3,both
1985,22,12,1,both
1985,22,12,2,both
1985,22,12,3,both
1985,23,6,1,both
1985,23,6,2,both
1985,23,6,3,both
1985,23,9,1,both
1985,23,9,2,both
1985,23,9,3,both
1985,23,12,1,both
1985,23,12,2,both
1985,23,12,3,both
1985,24,6,1,both
1985,24,6,2,both
1985,24,6,3,both
1985,24,9,1,both
1985,24,9,2,both
1985,24,9,3,both
1985,24,12,1,both
1985,24,12,2,both
1985,24,12,3,both
1985,26,6,1,both
1985,26,6,2,both
1985,26,6,3,both
1985,26,9,1,both
1985,26,9,2,both
1985,26,9,3,both
1985,26,12,1,both
1985,26,12,2,both
1985,26,12,3,both
1985,27,6,1,both
1985,27,6,2,both
1985,27,6,3,both
1985,27,9,1,both
1985,27,9,2,both
1985,27,9,3,both
1985,27,12,1,both
1985,27,12,2,both
1985,27,12,3,both
1985,28,0,1,both
1985,28,1,1,both
1985,28,2,1,both
1985,28,3,1,both
1985,28,4,1,both
1985,28,5,1,both
1985,28,6,1,both
1985,28,6,2,both
1985,28,6,3,both
1985,28,7,1,both
1985,28,8,1,both
1985,28,9,1,both
1985,28,9,2,both
1985,28,9,3,both
1985,28,10,1,both
1985,28,11,1,both
1985,28,12,1,both
1985,28,12,2,both
1985,28,12,3,both
1985,28,13,1,both
1986,1,3,1,both
1986,1,4,1,both
1986,1,5,1,both
1986,1,6,1,both
1986,1,6,2,both
1986,1,6,3,both
1986,1,7,1,both
1986,1,8,1,both
1986,1,8,2,both
1986,1,8,3,both
1986,1,9,1,both
1986,1,10,1,both
1986,1,10,2,both
1986,1,10,3,both
1986,1,11,1,both
1986,1,12,1,both
1986,2,1,1,both
1986,2,2,1,both
1986,2,3,1,both
1986,2,4,1,both
1986,2,5,1,both
1986,2,6,1,both
1986,2,6,2,both
1986,2,6,3,both
1986,2,7,1,both
1986,2,8,1,both
1986,2,8,2,both
1986,2,8,3,both
1986,2,10,1,both
1986,2,10,2,both
1986,2,10,3,both
1986,5,0,1,both
1986,5,4,1,both
1986,5,5,1,both
1986,5,6,1,both
1986,5,6,2,both
1986,5,6,3,both
1986,5,7,1,both
1986,5,8,1,both
1986,5,8,2,both
1986,5,8,3,both
1986,5,9,1,both
1986,5,10,1,both
1986,5,10,2,both
1986,5,10,3,both
1986,5,11,1,both
1986,5,12,1,both
1986,5,13,1,both
1986,7,0,1,both
1986,7,0,2,both
1986,7,0,3,both
1986,7,1,1,both
1986,7,1,2,both
1986,7,1,3,both
1986,7,2,1,both
1986,7,2,2,both
1986,7,2,3,both
1986,7,3,1,both
1986,7,4,1,both
1986,7,5,1,both
1986,7,6,1,both
1986,7,6,2,both
1986,7,6,3,both
1986,7,7,1,both
1986,7,8,1,both
1986,7,8,2,both
1986,7,8,3,both
1986,7,9,1,both
1986,7,10,1,both
1986,7,10,2,both
1986,7,10,3,both
1986,7,11,1,both
1986,7,12,1,both
1986,7,13,1,both
1986,13,6,1,both
1986,13,6,2,both
1986,13,6,3,both
1986,13,8,1,both
1986,13,8,2,both
1986,13,8,3,both
1986,13,10,1,both
1986,15,0,1,both
1986,15,1,1,both
1986,15,2,1,both
1986,15,3,1,both
1986,15,4,1,both
1986,15,5,1,both
1986,15,6,1,both
1986,15,6,2,both
1986,15,6,3,both
1986,15,7,1,both
1986,15,8,1,both
1986,15,8,2,both
1986,15,8,3,both
1986,15,9,1,both
1986,15,10,1,both
1986,15,10,2,both
1986,15,10,3,both
1986,15,11,1,both
1986,15,12,1,both
1986,17,0,1,both
1986,17,1,1,both
1986,17,2,1,both
1986,17,3,1,both
1986,17,4,1,both
1986,17,5,1,both
1986,17,6,1,both
1986,17,6,2,both
1986,17,6,3,both
1986,17,7,1,both
1986,17,7,2,both
1986,17,8,1,both
1986,17,8,2,both
1986,17,8,3,both
1986,17,9,1,both
1986,17,9,2,both
1986,17,10,1,both
1986,17,10,2,both
1986,17,10,3,both
1986,17,13,1,both
1986,17,13,2,both
1986,17,14,1,both
1986,19,-3,1,both
1986,19,-2,1,both
1986,19,-1,1,both
1986,19,0,1,both
1986,19,1,1,both
1986,19,2,1,both
1986,19,3,1,both
1986,19,3,2,both
1986,19,4,1,both
1986,19,5,1,both
1986,19,6,1,both
1986,19,6,2,both
1986,19,6,3,both
1986,19,7,1,both
1986,19,8,1,both
1986,19,8,2,both
1986,19,8,3,both
1986,19,10,1,both
1986,19,10,2,both
1986,19,10,3,both
1986,19,11,1,both
1986,20,1,1,both
1986,20,2,1,both
1986,20,3,1,both
1986,20,4,1,both
1986,20,5,1,both
1986,20,6,1,both
1986,20,6,2,both
1986,20,6,3,both
1986,20,7,1,both
1986,20,8,1,both
1986,20,8,2,both
1986,20,8,3,both
1986,20,9,1,both
1986,20,10,1,both
1986,20,10,2,both
1986,20,10,3,both
1986,20,11,1,both
1986,20,12,1,both
1986,21,3,1,both
1986,21,4,1,both
1986,21,5,1,both
1986,21,6,1,both
1986,21,6,2,both
1986,21,6,3,both
1986,21,7,1,both
1986,21,8,1,both
1986,21,8,2,both
1986,21,8,3,both
1986,21,9,1,both
1986,21,10,1,both
1986,21,10,2,both
1986,21,10,3,both
1986,21,11,1,both
1986,21,12,1,both
1986,22,0,1,both
1986,22,1,1,both
1986,22,2,1,both
1986,22,3,1,both
1986,22,4,1,both
1986,22,5,1,both
1986,22,6,1,both
1986,22,6,2,both
1986,22,6,3,both
1986,22,7,1,both
1986,22,8,1,both
1986,22,8,2,both
1986,22,8,3,both
1986,22,9,1,both
1986,22,10,1,both
1986,22,10,2,both
1986,22,10,3,both
1986,22,11,1,both
1986,22,12,1,both
1986,22,13,1,both
1986,24,0,1,both
1986,24,1,1,both
1986,24,2,1,both
1986,24,3,1,both
1986,24,4,1,both
1986,24,5,1,both
1986,24,6,1,both
1986,24,6,2,both
1986,24,6,3,both
1986,24,7,1,both
1986,24,8,1,both
1986,24,8,2,both
1986,24,8,3,both
1986,24,9,1,both
1986,24,10,1,both
1986,24,10,2,both
1986,24,10,3,both
1986,24,11,1,both
1986,24,12,1,both
1986,24,13,1,both
1986,26,0,1,both
1986,26,1,1,both
1986,26,2,1,both
1986,26,3,1,both
1986,26,4,1,both
1986,26,5,1,both
1986,26,6,1,both
1986,26,6,2,both
1986,26,6,3,both
1986,26,7,1,both
1986,26,8,1,both
1986,26,8,2,both
1986,26,8,3,both
1986,26,9,1,both
1986,26,10,1,both
1986,26,10,2,both
1986,26,10,3,both
1986,26,11,1,both
1986,26,12,1,both
1986,26,13,1,both
1986,27,3,1,both
1986,27,4,1,both
1986,27,5,1,both
1986,27,6,1,both
1986,27,6,2,both
1986,27,6,3,both
1986,27,7,1,both
1986,27,8,1,both
1986,27,8,2,both
1986,27,8,3,both
1986,27,9,1,both
1986,27,10,1,both
1986,27,10,2,both
1986,27,10,3,both
1986,28,0,1,both
1986,28,1,1,both
1986,28,2,1,both
1986,28,3,1,both
1986,28,4,1,both
1986,28,5,1,both
1986,28,6,1,both
1986,28,6,2,both
1986,28,6,3,both
1986,28,7,1,both
1986,28,8,1,both
1986,28,8,2,both
1986,28,8,3,both
1986,28,9,1,both
1986,28,10,1,both
1986,28,10,2,both
1986,28,10,3,both
1986,28,11,1,both
1986,28,12,1,both
1986,28,13,1,both
1987,2,2,1,both
1987,2,3,1,both
1987,2,4,1,both
1987,2,5,1,both
1987,2,6,1,both
1987,2,6,2,both
1987,2,6,3,both
1987,2,7,1,both
1987,2,8,1,both
1987,2,9,1,both
1987,2,9,2,both
1987,2,9,3,both
1987,2,10,1,both
1987,2,11,1,both
1987,2,12,1,both
1987,2,12,2,both
1987,2,12,3,both
1987,2,13,1,both
1987,5,3,1,both
1987,5,4,1,both
1987,5,5,1,both
1987,5,6,1,both
1987,5,6,2,both
1987,5,6,3,both
1987,5,7,1,both
1987,5,8,1,both
1987,5,9,1,both
1987,5,9,2,both
1987,5,9,3,both
1987,5,10,1,both
1987,5,11,1,both
1987,5,12,1,both
1987,5,12,2,both
1987,5,12,3,both
1987,5,13,1,both
1987,7,0,1,both
1987,7,1,1,both
1987,7,2,1,both
1987,7,3,1,both
1987,7,4,1,both
1987,7,5,1,both
1987,7,6,1,both
1987,7,6,2,both
1987,7,6,3,both
1987,7,7,1,both
1987,7,8,1,both
1987,7,9,1,both
1987,7,9,2,both
1987,7,9,3,both
1987,7,10,1,both
1987,7,11,1,both
1987,7,12,1,both
1987,7,12,2,both
1987,7,12,3,both
1987,7,13,1,both
1987,7,14,1,both
1987,7,15,1,both
1987,13,0,1,both
1987,13,1,1,both
1987,13,2,1,both
1987,13,3,1,both
1987,13,4,1,both
1987,13,5,1,both
1987,13,6,1,both
1987,13,6,2,both
1987,13,6,3,both
1987,13,7,1,both
1987,13,8,1,both
1987,13,9,1,both
1987,13,9,2,both
1987,13,9,3,both
1987,13,10,1,both
1987,13,11,1,both
1987,13,12,1,both
1987,13,13,1,both
1987,15,1,1,both
1987,15,2,1,both
1987,15,3,1,both
1987,15,4,1,both
1987,15,5,1,both
1987,15,6,1,both
1987,15,6,2,both
1987,15,6,3,both
1987,15,7,1,both
1987,15,8,1,both
1987,15,9,1,both
1987,15,9,2,both
1987,15,9,3,both
1987,15,10,1,both
1987,15,11,1,both
1987,15,12,1,both
1987,15,12,2,both
1987,15,12,3,both
1987,15,13,1,both
1987,15,14,1,both
1987,19,0,1,both
1987,19,1,1,both
1987,19,2,1,both
1987,19,3,1,both
1987,19,4,1,both
1987,19,5,1,both
1987,19,6,1,both
1987,19,6,2,both
1987,19,6,3,both
1987,19,7,1,both
1987,19,8,1,both
1987,19,9,1,both
1987,19,9,2,both
1987,19,9,3,both
1987,19,10,1,both
1987,19,11,1,both
1987,19,12,1,both
1987,19,14,1,both
1987,20,1,1,both
1987,20,2,1,both
1987,20,3,1,both
1987,20,4,1,both
1987,20,5,1,both
1987,20,6,1,both
1987,20,6,2,both
1987,20,6,3,both
1987,20,7,1,both
1987,20,8,1,both
1987,20,9,1,both
1987,20,9,2,both
1987,20,9,3,both
1987,20,10,1,both
1987,20,11,1,both
1987,20,12,1,both
1987,20,12,2,both
1987,20,12,3,both
1987,20,13,1,both
1987,20,14,1,both
1987,22,-3,1,both
1987,22,-2,1,both
1987,22,-1,1,both
1987,22,0,1,both
1987,22,1,1,both
1987,22,2,1,both
1987,22,3,1,both
1987,22,4,1,both
1987,22,5,1,both
1987,22,6,1,both
1987,22,6,2,both
1987,22,6,3,both
1987,22,7,1,both
1987,22,8,1,both
1987,22,9,1,both
1987,22,9,2,both
1987,22,9,3,both
1987,22,10,1,both
1987,22,11,1,both
1987,22,12,1,both
1987,22,12,2,both
1987,22,12,3,both
1987,22,13,1,both
1987,22,14,1,both
1987,23,0,1,both
1987,23,1,1,both
1987,23,2,1,both
1987,23,3,1,both
1987,23,4,1,both
1987,23,5,1,both
1987,23,6,1,both
1987,23,6,2,both
1987,23,6,3,both
1987,23,7,1,both
1987,23,8,1,both
1987,23,9,1,both
1987,23,9,2,both
1987,23,9,3,both
1987,23,10,1,both
1987,23,11,1,both
1987,23,12,1,both
1987,23,14,1,both
1987,24,0,1,both
1987,24,1,1,both
1987,24,2,1,both
1987,24,3,1,both
1987,24,4,1,both
1987,24,5,1,both
1987,24,6,1,both
1987,24,6,2,both
1987,24,6,3,both
1987,24,7,1,both
1987,24,8,1,both
1987,24,9,1,both
1987,24,9,2,both
1987,24,9,3,both
1987,24,10,1,both
1987,24,11,1,both
1987,24,12,1,both
1987,24,12,2,both
1987,24,12,3,both
1987,24,13,1,both
1987,26,0,1,both
1987,26,1,1,both
1987,26,2,1,both
1987,26,3,1,both
1987,26,4,1,both
1987,26,5,1,both
1987,26,6,1,both
1987,26,6,2,both
1987,26,6,3,both
1987,26,7,1,both
1987,26,8,1,both
1987,26,9,1,both
1987,26,9,2,both
1987,26,9,3,both
1987,26,10,1,both
1987,26,11,1,both
1987,26,12,1,both
1987,26,12,2,both
1987,26,12,3,both
1987,26,13,1,both
1987,28,0,1,both
1987,28,1,1,both
1987,28,2,1,both
1987,28,3,1,both
1987,28,4,1,both
1987,28,5,1,both
1987,28,6,1,both
1987,28,6,2,both
1987,28,6,3,both
1987,28,7,1,both
1987,28,8,1,both
1987,28,9,1,both
1987,28,9,2,both
1987,28,9,3,both
1987,28,10,1,both
1987,28,11,1,both
1987,28,12,1,both
1987,28,12,2,both
1987,28,12,3,both
1987,28,13,1,both
1987,28,14,1,both
1987,28,15,1,both
1988,1,0,1,both
1988,1,1,1,both
1988,1,2,1,both
1988,1,3,1,both
1988,1,4,1,both
1988,1,5,1,both
1988,1,6,1,both
1988,1,6,2,both
1988,1,6,3,both
1988,1,7,1,both
1988,1,8,1,both
1988,1,9,1,both
1988,1,9,2,both
1988,1,9,3,both
1988,1,10,1,both
1988,1,11,1,both
1988,1,12,1,both
1988,1,12,2,both
1988,1,12,3,both
1988,1,13,1,both
1988,2,0,1,both
1988,2,1,1,both
1988,2,2,1,both
1988,2,3,1,both
1988,2,4,1,both
1988,2,5,1,both
1988,2,6,1,both
1988,2,6,2,both
1988,2,6,3,both
1988,2,7,1,both
1988,2,8,1,both
1988,2,9,1,both
1988,2,9,2,both
1988,2,9,3,both
1988,2,10,1,both
1988,2,11,1,both
1988,2,12,1,both
1988,2,13,1,both
1988,5,4,1,both
1988,5,5,1,both
1988,5,6,1,both
1988,5,6,2,both
1988,5,6,3,both
1988,5,7,1,both
1988,5,8,1,both
1988,5,9,1,both
1988,5,9,2,both
1988,5,9,3,both
1988,5,10,1,both
1988,5,11,1,both
1988,5,12,1,both
1988,5,12,2,both
1988,5,12,3,both
1988,5,13,1,both
1988,5,14,1,both
1988,7,0,1,both
1988,7,1,1,both
1988,7,2,1,both
1988,7,3,1,both
